vin_,vehicle_model_code_
LWLDAANG5LL002311,CL5080ZZZ6ZH-4KH1CN6LB
11111111111111179,-1
11111111111111180,-1
vin110110110,-1
vin999999,-1
78383939309876543,CL5080ZZZ6ZH-4KH1CN6LB
vin999999,-1
BGFDS123456789012,CL5080ZZZ6ZH-4KH1CN6LB
eeee2222222,CL5080ZZZ6ZH-4KH1CN6LB
5555555555555555,CL5080ZZZ6ZH-4KH1CN6LB
1212121,CL5080ZZZ6ZH-4KH1CN6LB
1212121111111111,CL5080ZZZ6ZH-4KH1CN6LB
222222,CL5080ZZZ6ZH-4KH1CN6LB
LWLDAANG5LL002313,CL5080ZZZ6ZH-4KH1CN6LB
99966633322255588,CQ3316HTVG366L
HUWE1221010501003,CL5080ZZZ6ZH-4KH1CN6LB
00001321092600095,000402006
00001221010500874,000203001
LFNFVXSXXLAD28387,000701003
L9999888877776666,000402006
LFNFVXRX0KAD01588,000701028
LJ11R4FH1L3314236,000204001
LFNAHRKM3HAC15763,000701042
LZZ7BXWFXMC404232,000602004
LZGCR2T66KX000411,001101001
LJ11R4FG3H3204187,000204014
cs123456789012345,000402006
LJ11R4FH3L3518875,000204001
00001221010500739,000203001
00001221010500984,000202002
00001221010500989,00060401
LFNAHULM9MAC16069,000719001
LRDV7PEC9MR021790,1493502694449614848
LZGJLGX43LX007431,001101002
LZZ1CLWC3LA711446,000602004
LZZ1CLWB3MA815895,000602004
LZZ1CLWB6MA905297,000602004
11111,000602004
LZZ1CLWB4MA905509,000602004
LZZ1CLWB4MA905,000602004
222,000602004
LZZ1CLWB4MA905508,000602004
LZZ1CLWB4MA905296,000602004
LZZ1CLWB7MA815897,000602004
LFWSRXSH7JAD34474,000713004
00001221010500674,000718003
00001220121300590,000904005
00001220121300718,000203001
00001220121300689,000203001
LZZ1CLWBXMA905299,000602004
11001221010500839,000905022
22001221010500839,000905002
LZZ1CLWB2MA905507,000602004
1221010500987,000102004
00001221010500997,000102004
00001221010500987,000102004
22233,1111
10000000000000003,GTLISGe5-360
3434343,1111
343434333,222
LRDV7PEC9MR021791,222
LGGG4DY34JL534937,2203290011
LGGG4DY32KL629871,001201002
77771220121300572,000905022
LZFF25X42LD035708,000819003
77771221010500908,000202002
77771221010500909,000303001
77771221010500941,000601001
77771221010500948,000102003
77771221010500946,000101003
77771221010500910,000402006
77771221010500972,000602003
1221010500525,000819003
LFMAP22C190132309,000819003
77771220121300558,000905022
LZZ1CLWB2MA905300,000602004
77771220121300695,000203001
77771220121300708,000203001
LZFF25T42JD002632,000826001
LZFF25T41JD014691,000826001
LZFF25145JD014693,000826001
77771220121300612,000203001
77771220121300608,000203001
77771220121300611,000203001
77771220121300725,000203001
77771220121300716,000203001
77771220121300690,000203001
77771220121300705,000203001
77771220121300615,000203001
LZFF25W45LD000159,000826001
LFNCRULX7MFA16911,000902010
77771220121300575,000718003
LFNAHULX7MFA07023,000902013
LFWSRXSJ2KFA26538,000905003
77771220121300796,000718003
LZFF25T43KD011955,000801004
LZFF25X41KD051333,000827001
LFNFVXSX8MAD10438,000701070
LFNFVXPX6LAD07834,000702012
LFNCRXMX4JAD29911,000702003
LFNAHULM6L1E68523,CA5180CCYP62K1L4E5
LZFF25T47JD027705,000826001
LFWSRXSJ0MAD30158,000701044
00001220121300839,000905010
00001220121300572,000905022
00001221010500839,000905022
00001221010500593,000905022
00001220121300688,000203001
00001221010500575,000718003
00001221010500775,001107010
00001220121300575,000701036
00001220121300719,000203001
00001220121300703,000203001
LWLDABUG6ML040350,1483704553189806080
LWLDABUG3LL048467,1483704553189806080
LWLDABUG9LL068206,1483704553189806080
LWLDABUG0ML040375,1483704553189806080
LWLDABUGXLL068215,1483704553189806080
LWLDABUG2LL068211,1483704553189806080
LWLDABUG7ML043483,1483704553189806080
LWLDABUG0ML043485,1483704553189806080
LWLDABUG8ML040348,1483704553189806080
LWLDABUG3ML040399,1483704553189806080
LWLDABUG4LL068209,1483704553189806080
LWLDABUGXML040383,1483704553189806080
LWLDABUG6ML050036,1483704553189806080
LWLDABUGXML050041,1483704553189806080
LWLDABUG8ML050040,1483704553189806080
LWLDABUG8ML050037,1483704553189806080
LWLDABUG4ML050035,1483704553189806080
LFWSRXJ9MAD20499,701030
LFWSRXSJ0MAD20309,000701030
LFWSRXSJ7MAD20310,000701030
LFWSRXSJ0MAD20262,000701030
LFWSRXSJ5MAD20502,000701030
LFWSRXSJ9MAD20499,000701030
LFWSRXRJ1J1F14963,000905008
LWLDAANG3LL003151,000402006
LWLDAANG4LL003153,000402006
00001221010500736,000603006
00001221010500876,000905023
00001221010500716,001106015
00001321102800620,1491248119357247488
00001221010500843,1491594171323125760
LZFF25W42KD037281,000819010
LEFYEDG40GHN75250,000301001
LGAX3B130L1005088,000102004
LGAX2B136H8048402,000102004
LGAX2B131G1010695,000102004
LGAX3C136J1047509,000102006
LGAX2B123J1015931,000102004
LZZ1BBKG7KN509805,000602003
LWLDAANG5LL003152,000402006
LWLDAANG3LL002307,000402006
LWLDAANG4LL002297,000402006
LGAX2AJ26H1018620,000102005
LWLDAA5G6HL041495,000401001
LEFYEDG4XJHN34678,000301002
LEFYEDG4XKHN69223,1483703271158845440
LEFYEDG41HHN68065,000301002
LEFYEDG42LHN64230,000302001
LGAX2A124LT009248,000101002
LWU2DM2C7MKM29252,001301001
LGAX3B131K1039846,000102001
LJ11KEBDXJ1323488,000202002
10001221010500716,000808004
LJ11KBBC6K1701751,000201001
LGAX3B136J8029514,000102002
LGAX3B134J1035272,000102004
LGAX3B130J8004981,000102002
LGAX3B137J1034438,000102002
LGAX2B139H8046966,000102004
LGAX3B137J1034455,000102002
LGAX2B128J1015925,000102003
LGAX2B139G1013795,1486530817315442688
LGAX3B135J8031562,000104001
LGAX2A126MT012590,1486518048365088768
LGAX2B136H1037053,000102003
LGAX2B12XJ1007082,000102002
LGAX2B133J8014066,000102003
LGAX2B131J1029285,000102004
LGAX2B13XJ8035982,000102004
LGAX3C135L8001874,000101001
20001221010500716,000821001
LZFF25W45KD037422,000819002
LZFF25W42KD037426,000819002
LZFF25W45KD037419,000819002
LZFF25W47KD037423,000819002
LZFF25W43KD037418,000819002
LZFF25W42KD037278,000819002
LZFF25W40KD037425,000819002
LZFF25W4XKD037416,000819002
LZFF25W44KD037279,000819002
LZZ1BXND2LW615654,000601001
LGAX2B139J8028005,000102004
LFWSRXSJ0LFA04510,000905002
