id,vin,Code,是否一致
1	,L1234567891234567	,None	,不一致,
2	,LFWSRXSJ5L1F20021	,None	,不一致,000905022
3	,LFNFVXSX0MAD09509	,None	,不一致,
4	,LFWSRXSJ6MAC27195	,None	,不一致,
5	,LFWSRXSJ5LAF09908	,None	,不一致,
6	,LZFH25X41KD051275	,None	,不一致,
7	,LZZ7CLWC5MC371281	,None	,不一致,000603007
8	,LZZ1CLWB4MA905296	,None	,不一致,000602004
9	,LFWSRXSJ5L1F20022	,None	,不一致,
10	,LFNFVXSX0MAD09508	,None	,不一致,
11	,LFNMVXSX8MFA06813	,None	,不一致,
12	,LFNFVXRX8KAD10569	,None	,不一致,000702012
13	,LZFH25W42LD063521	,None	,不一致,1494506419297325056
14	,LFWSRXSH7JAD34474	,None	,不一致,000713004
15	,LZFF25W42KD037281	,None	,不一致,000819010
16	,LZZ1CLWB7MA815897	,None	,不一致,000602004
17	,LZFH25X41KD051274	,None	,不一致,
18	,00001221010500575	,None	,不一致,000718003
19	,LFWSRXSJ0KFA10760	,None	,不一致,000905003
20	,LFWSRXSJ0KFA10761	,None	,不一致,
21	,L8888888899999999	,None	,不一致,000701044
22	,77771221010500575	,None	,不一致,000905022
23	,LZFH18U17HD042958	,None	,不一致,1501437622671773696
24	,LFWNHXPCXH1F18802	,None	,不一致,000905004
25	,LFNFVXPX6LAD07834	,None	,不一致,000702012
26	,LFWSRXSJ2J1E15482	,None	,不一致,000905006
27	,LZZ1CLWB4MA905508	,None	,不一致,000602004
28	,LZZPCLXCXKJ135278	,None	,不一致,1493820623397457920
29	,LFWSRXSJ7HAD47609	,None	,不一致,000701040
30	,LFNAHULM4L1E61411	,None	,不一致,
31	,LFWSRXSJXL1F39924	,None	,不一致,
32	,00001220121300590	,None	,不一致,000904005
33	,00001220121300796	,None	,不一致,1484089337892179968
34	,LZGJLGU43LX098513	,None	,不一致,001109024
35	,LZGCR2V64LX110629	,None	,不一致,001107005
36	,LZZ7CLXC0KC281029	,None	,不一致,000603005
37	,LFWSRXSH9HAC01225	,None	,不一致,000713004
38	,RBOX1221010500995	,None	,不一致,1494190518945583104
39	,LZFH18R12KD013626	,None	,不一致,000801008
40	,LZGJL4Y47GX043190	,None	,不一致,001107015
41	,LFNCRXMX4JAD29911	,None	,不一致,000702003
42	,LFNMVXSX8MFA06813（实）	,None	,不一致,
43	,00001220121300708	,None	,不一致,1493787664682455040
44	,LFNMVXSX8MFA06812	,None	,不一致,1494121909745487872
45	,00001221010500991	,None	,不一致,000602023
46	,00001220121300583	,None	,不一致,000701036
47	,LFNKRXSP3MFA02731	,None	,不一致,
48	,LFNKRXSP3MFA09890	,None	,不一致,
49	,LFNKRXSP3MFA09891	,None	,不一致,1494121909745487872
50	,LFNKRXSP3MFA02730	,None	,不一致,1494121909745487872
51	,00001221010500681	,None	,不一致,000826001
52	,LZGJDGR13LX104127	,001103015	,不一致,001103026
53	,LFWSRXSJ7MAC02855	,None	,不一致,000701034
54	,LGAG4DY35K8009741	,None	,不一致,1496801068657545216
55	,LGAG4DY34H3044261	,None	,不一致,1496798869546209280
56	,LFWSRXSJ6KAD11191	,None	,不一致,000701033
57	,12345612345612345	,None	,不一致,
58	,LGAG4DY3XL8039092	,None	,不一致,1496805496940793856
59	,LGAG4DY36J8015935	,None	,不一致,1496805496940793856
60	,77771220121300583	,None	,不一致,000701036
61	,88881220121300583	,None	,不一致,000905003
62	,LFWSRXSJ6LAD80237	,None	,不一致,000701010
63	,00001221010500696	,None	,不一致,000826001
64	,LGAX2B139J8021703	,None	,不一致,
65	,LGAX2B139J8021702	,None	,不一致,2203260010
66	,LWLDAANG4LL002297	,None	,不一致,000402006
67	,00001221010500922	,None	,不一致,2203250006
68	,LWLDABUG9LL052085	,None	,不一致,2203260011
69	,LWLDAANG4LL002298	,None	,不一致,2203250001
70	,LGAG4DY34L8044076	,None	,不一致,1496799335411748864
71	,LGAG4DY37H8036173	,None	,不一致,1496798528012423168
72	,LGAG4DY36J8015936	,None	,不一致,1496798105683759104
73	,LGAG4DY3XL8039093	,None	,不一致,1496798105683759104
74	,LGAG4DY3XL8039098	,None	,不一致,
75	,LFWSRXSJ6KAD11190	,None	,不一致,000701033
76	,LZZ7CLXC0MC423155	,None	,不一致,000606009
77	,00001221010500952	,None	,不一致,2203250007
78	,00001221010500955	,None	,不一致,2203250003
79	,00001221010500580	,None	,不一致,
80	,LGAG4DY31M9044239	,1496766801646850048	,一致,1496766801646850048	
81	,LGAG4DY38M9044240	,None	,不一致,1496766801646850048
82	,LWLDABUG7LL060542	,None	,不一致,1483704553189806080
83	,22221221010500575	,None	,不一致,1486530817315442688
84	,LFWSRXSJ7J1F21586	,None	,不一致,000905003
85	,LFWSRXSJ6J1F14273	,None	,不一致,000905006
86	,WXCS1234567890123	,None	,不一致,000905024
87	,WXCS1234567890001	,2203310001	,一致,2203310001	
88	,00001221010500587	,None	,不一致,1496766801646850048
89	,00001221010500563	,None	,不一致,1496766801646850048
90	,88888888999999999	,None	,不一致,
91	,LFWSRXPJ0G1F45844	,None	,不一致,000905004
92	,RB1221010500995-2	,None	,不一致,1496766606905315328
93	,RB1221010500995-3	,None	,不一致,1496766801646850048
94	,LZZ1CLWBXMW792652	,None	,不一致,000602017
