id,vin,Code,是否一致
3	,00001221010500739	,000203001	,一致,000203001	
4	,00001221010500874	,000203001	,一致,000203001	
5	,33331221010500874	,000602001	,不一致,
6	,00001321092600095	,000402006	,一致,000402006	
8	,RXDLFNFVXSXXLAD28	,000701003	,不一致,
9	,LFNFVXSXXLAD28387	,000701028	,不一致,000701003
11	,11111111111111111	,000402006	,不一致,
12	,LFNFVXRX0KAD01588	,000701028	,一致,000701028	
14	,LJ11R4FH1L3314236	,000204001	,一致,000204001	
16	,LZZ7BXWFXMC404232	,000603001	,不一致,000602004
17	,LZGCR2T66KX000411	,001101001	,一致,001101001	
18	,LJ11R4FH3L3518875	,000204001	,一致,000204001	
19	,LJ11R4FG3H3204187	,000204014	,一致,000204014	
20	,cs123456789012345	,000402006	,一致,000402006	
23	,LFNAHULM9MAC16069	,000719001	,一致,000719001	
25	,LZGJLGX43LX007431	,001101002	,一致,001101002	
26	,LZZ1CLWC3LA711446	,1494190518945583104	,不一致,000602004
28	,LZZ1CLWB4MA905296	,1494190518945583104	,不一致,000602004
29	,LZZ1CLWB4MA905508	,1494190518945583104	,不一致,000602004
30	,LZZ1CLWB6MA905297	,1494190518945583104	,不一致,000602004
31	,LZZ1CLWB7MA815897	,1494190518945583104	,不一致,000602004
32	,LFWSRXSH7JAD34474	,000713004	,一致,000713004	
33	,00001221010500674	,000718003	,一致,000718003	
34	,LFNAHRKM3HAC15763	,000718005	,不一致,000701042
36	,00001220121300718	,000203001	,一致,000203001	
37	,00001220121300689	,000203001	,一致,000203001	
38	,LZZ1CLWBXMA905299	,1494190518945583104	,不一致,000602004
39	,00001221010500839	,000905022	,一致,000905022	
40	,10001221010500839	,000905022	,不一致,
41	,11001221010500839	,000905022	,一致,000905022	
42	,22001221010500839	,000905002	,一致,000905002	
44	,LZZ1CLWB2MA905507	,1494190518945583104	,不一致,000602004
46	,00001221010500997	,000102004	,一致,000102004	
47	,00001221010500987	,000102004	,一致,000102004	
49	,LRDV7PEC9MR021790	,1493502694449614848	,一致,1493502694449614848	
50	,LGGG4DY34JL534937	,2203290011	,一致,2203290011	
51	,LGGG4DY32KL629871	,2203290010	,不一致,001201002
52	,LZFF25T42JD002632	,000826001	,一致,000826001	
53	,LZFF25T41JD014691	,000826001	,一致,000826001	
54	,LZFF25T47JD027705	,1497023628536057856	,不一致,000826001
55	,LZFF25145JD014693	,000826001	,一致,000826001	
62	,LZFF25X42LD035708	,000819003	,一致,000819003	
63	,77771221010500908	,000202002	,一致,000202002	
64	,77771221010500909	,000303001	,一致,000303001	
65	,77771221010500941	,000601001	,一致,000601001	
66	,77771221010500948	,000102003	,一致,000102003	
67	,77771221010500946	,000101003	,一致,000101003	
68	,77771221010500910	,000402006	,一致,000402006	
69	,77771221010500972	,000602003	,一致,000602003	
71	,LFMAP22C190132309	,000905002	,不一致,000819003
72	,77771220121300558	,000905022	,一致,000905022	
73	,LZZ1CLWB2MA905300	,1494190518945583104	,不一致,000602004
74	,77771220121300695	,000203001	,一致,000203001	
75	,77771220121300708	,000203001	,一致,000203001	
76	,77771220121300612	,000203001	,一致,000203001	
77	,77771220121300608	,000203001	,一致,000203001	
78	,77771220121300611	,000203001	,一致,000203001	
79	,77771220121300725	,000203001	,一致,000203001	
80	,77771220121300716	,000203001	,一致,000203001	
81	,77771220121300690	,000203001	,一致,000203001	
82	,77771220121300705	,000203001	,一致,000203001	
83	,77771220121300615	,000203001	,一致,000203001	
85	,LZFF25W45LD000159	,000819002	,不一致,000826001
